Jieming Zhu, Pinjia He, Zibin Zheng, Michael R. Lyu	Online QoS Prediction for Runtime Service Adaption via Adaptive Matrix Factorization	IEEE Transactions on Parallel and Distributed Systems	2017
Jiajie Shen, Kai Zhang, Jiazhen Gu, Yangfan Zhou, Xin Wang	Efficient Scheduling for Multi-block Updates in Erasure Coding-based Storage Systems	IEEE Transactions on Computers	2017
Yi Xiang, Yuren Zhou, Zibin Zheng, Miqing Li	Configuring Software Product Lines by Combining Many-objective Optimization and SAT Solver	ACM Transactions on Software Engineering and Methodology	2017
Guanhong Tao, Zibin Zheng, Ziying Guo, Michael R. Lyu	Malpat: Mining Patterns of Malicious and Benign Android Apps via Permission-Related APIs	IEEE Transactions on Reliability	2017
Hui Xu, Yangfan Zhou, Yu Kang, Michael R. Lyu	Concolic Execution on Small-Size Binaries: Challenges and Empirical Study	Proc. of the 47th Annual IEEE/IFIP International Conference on Dependable Systems and Networks	2017
Jiaojiao Fu, Yangfan Zhou, Huan Liu, Yu Kang, Xin Wang	Perman: Fine-grained Permission Management for Android Applications	Proc. of the 28 th International Symposium on Software Reliability Engineering	2017
XuanZhe Liu, Huoran Li, Xuan Lu, Tao Xie, Qiaozhu Mei, Feng Feng, Hong Mei	Understanding Diverse Usage Patterns from Large-Scale Appstore-Service Profiles	IEEE Transactions on Software Engineering	2017
Yingfei Xiong, Jie Wang, Runfa Yan, Jiachen Zhang, Shi Han, Gang Huang, Lu Zhang	Precise Condition Synthesis for Program Repair	ICSE	2017
Hui Xu. Yangfan Zhou, Yu Kang, Fengzhi Tu, Michael Lyu	Manufacturing Resilient Bi-Opaque Predicates against Symbolic Execution	Proc. of the 48th Annual IEEE/IFIP International Conference on Dependable Systems and Networks	2018
Shilin He, Qingwei Lin, Jian-Guang Lou, Hongyu Zhang, Michael R. Lyu	Identifying Impactful Service System Problems via Log Analysis	Proceedings of the 26 th ACM Symposium on the Foundations of Software Engineering	2018
Pinjia He, Zhuangbin Chen, Shilin He, Michael R. Lyu, Dongmei Zhang	Characterizing the Natural Language Descriptions in Software Logging Statements	ASE	2018
