7月4日##软件工程青年学者沙龙网站上线。
7月6日##软件工程青年学者沙龙免费对外开放<S><a>注册</a></S>。
7月24日##研究生论坛报名已截止。在<a onClick="return update('call');">研究生论坛报名</a>查看相关报告。
7月25日##更新论坛<a onClick="return update('program');">详细日程</a>。
7月28日##沙龙注册已截止，请在<a onClick="return update('reg');">注册</a>查看完整注册名单。
8月1日##请在参会前打印<a href="./files/doc/information.pdf" target="_blank">会议通知</a>，凭通知才能从北大东南门进入校园。
8月6日##上传会议演讲稿，详见<a onClick="return update('download');">资料下载</a>页面。
